,base,clouds.all,cod,coord.lat,coord.lon,dt,id,main.grnd_level,main.humidity,main.pressure,main.sea_level,main.temp,main.temp_max,main.temp_min,message,name,rain.1h,rain.3h,sys.country,sys.id,sys.message,sys.sunrise,sys.sunset,sys.type,visibility,weather,wind.deg,wind.gust,wind.speed
81,stations,44.0,200,-33.02,27.91,1541024718.0,1006984.0,1029.01,100.0,1029.01,1033.63,60.23,60.23,60.23,,East London,,,ZA,,0.0036,1540955366.0,1541003692.0,,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",221.001,,6.11
82,stations,0.0,200,25.12,62.33,1541024718.0,1177446.0,1023.66,96.0,1023.66,1027.67,76.7,76.7,76.7,,Gwadar,,,PK,,0.0031,1540951077.0,1540991412.0,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",276.501,,3.2
83,stations,88.0,200,3.07,172.79,1541024719.0,2110227.0,1026.09,100.0,1026.09,1026.17,84.58,84.58,84.58,,Butaritari,,,KI,,0.0038,1540923124.0,1540966360.0,,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",86.5009,,10.47
84,stations,36.0,200,-9.87,-56.08,1541024719.0,6316343.0,994.8,93.0,994.8,1020.29,80.03,80.03,80.03,,Alta Floresta,,8.035,BR,,0.0031,1540977245.0,1541022104.0,,,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",24.0009,,1.07
85,stations,0.0,200,-4.26,-55.99,1541024720.0,3397967.0,1009.63,57.0,1009.63,1019.4,89.84,89.84,89.84,,Itaituba,,,BR,,0.0036,1540977579.0,1541021723.0,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",63.5009,,2.53
86,stations,75.0,200,-0.74,-90.35,1541019600.0,3652764.0,,57.0,1011.0,,80.6,80.6,80.6,,Puerto Ayora,,,EC,4355.0,0.0083,1540986044.0,1541029748.0,1.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",340.0,,8.05
87,,,404,,,,,,,,,,,,city not found,,,,,,,,,,,,,,
88,stations,75.0,200,53.01,-112.84,1541023200.0,5914653.0,,45.0,1005.0,,46.4,46.4,46.4,,Camrose,,,CA,3158.0,0.004,1540996153.0,1541030389.0,1.0,32186.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",220.0,,5.82
89,stations,90.0,200,63.75,-68.52,1541023200.0,5983720.0,,92.0,1019.0,,14.0,14.0,14.0,,Iqaluit,,,CA,3590.0,0.0044,1540988095.0,1541017155.0,1.0,24140.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",50.0,,6.93
90,stations,0.0,200,-34.53,20.04,1541023200.0,1015776.0,,75.0,1021.0,,46.4,46.4,46.4,,Bredasdorp,,,ZA,6591.0,0.004,1540957112.0,1541005726.0,1.0,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",340.0,,6.93
91,,,404,,,,,,,,,,,,city not found,,,,,,,,,,,,,,
92,stations,88.0,200,32.49,75.28,1541024723.0,1270056.0,992.77,79.0,992.77,1028.68,65.81,65.81,65.81,,Hiranagar,,,IN,,0.0179,1540948546.0,1540987721.0,,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",49.5009,,2.75
93,stations,32.0,200,7.19,8.13,1541024723.0,2328113.0,1005.82,69.0,1005.82,1022.76,81.83,81.83,81.83,,Otukpo,,,NG,,0.0034,1540962898.0,1541005619.0,,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",226.501,,11.81
94,stations,90.0,200,47.5,-111.29,1541022780.0,5655240.0,,55.0,1010.0,,42.87,42.98,42.8,,Great Falls,,,US,1730.0,0.0035,1540994940.0,1541030864.0,1.0,16093.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",220.0,12.9,20.8
95,stations,75.0,200,5.28,115.24,1541023200.0,1733782.0,,100.0,1008.0,,77.0,77.0,77.0,,Victoria,,,BN,8115.0,0.0039,1540937072.0,1540980034.0,1.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,,1.12
96,,,404,,,,,,,,,,,,city not found,,,,,,,,,,,,,,
97,stations,88.0,200,15.34,74.49,1541024725.0,1273574.0,958.16,50.0,958.16,1022.97,74.63,74.63,74.63,,Vaini,,,IN,,0.0032,1540947485.0,1540989174.0,,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",36.5009,,2.98
98,stations,90.0,200,30.3,-99.24,1541022900.0,4696310.0,,91.0,1012.0,,61.09,62.96,59.0,,Harper,8.0,,US,2613.0,0.0131,1540990272.0,1541029764.0,1.0,4828.0,"[{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10d'}]",16.5009,,4.32
99,stations,0.0,200,-34.42,19.24,1541024726.0,3366880.0,995.29,92.0,995.29,1035.82,43.94,43.94,43.94,,Hermanus,,,ZA,,0.0032,1540957315.0,1541005907.0,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",141.001,,3.42
100,,,404,,,,,,,,,,,,city not found,,,,,,,,,,,,,,
101,stations,40.0,200,13.07,-59.53,1541023200.0,3373652.0,,78.0,1013.0,,82.4,82.4,82.4,,Oistins,,,BB,4160.0,0.0037,1540979510.0,1541021479.0,1.0,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",90.0,,10.29
102,stations,76.0,200,7.42,81.82,1541024727.0,1242110.0,1005.66,100.0,1005.66,1021.02,75.17,75.17,75.17,,Kalmunai,,0.65,LK,,0.0032,1540945225.0,1540987921.0,,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",314.501,,3.2
103,stations,90.0,200,55.74,-97.86,1541023200.0,6165406.0,,92.0,1010.0,,24.8,24.8,24.8,,Thompson,,,CA,3406.0,0.0031,1540993059.0,1541026288.0,1.0,4828.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",340.0,,2.24
104,stations,0.0,200,52.34,124.71,1541024727.0,2034615.0,969.1,84.0,969.1,1034.84,26.21,26.21,26.21,,Tahe,,,CN,,0.003,1540938954.0,1540973566.0,,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",282.001,,4.76
105,stations,90.0,200,42.65,-73.75,1541022840.0,5106834.0,,49.0,1011.0,,58.59,60.08,57.2,,Albany,,,US,2088.0,0.0196,1540985324.0,1541022466.0,1.0,16093.0,"[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09n'}, {'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09n'}]",180.0,,13.87
106,stations,75.0,200,78.22,15.63,1541022600.0,2729907.0,,92.0,1010.0,,28.4,28.4,28.4,,Longyearbyen,,,NO,5326.0,0.0041,0.0,0.0,1.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",359.001,,1.63
107,stations,75.0,200,-42.88,147.33,1541023200.0,2163355.0,,58.0,1017.0,,55.4,55.4,55.4,,Hobart,,,AU,8195.0,0.0044,1540925690.0,1540976063.0,1.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",330.0,,6.93
108,stations,92.0,200,50.68,156.12,1541024729.0,2121385.0,999.1,100.0,999.1,1012.07,40.97,40.97,40.97,,Severo-Kurilsk,,0.565,RU,,0.0038,1540931145.0,1540966301.0,,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",33.5009,,12.26
109,stations,32.0,200,-1.24,116.86,1541024555.0,1650527.0,1020.74,100.0,1020.74,1021.47,81.02,81.02,81.02,,Balikpapan,,,ID,,0.0034,1540936285.0,1540980049.0,,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",135.001,,3.09
110,stations,76.0,200,70.62,147.9,1541024730.0,2126123.0,1018.23,89.0,1018.23,1020.41,14.6,14.6,14.6,,Chokurdakh,,,RU,,0.0041,1540939388.0,1540961962.0,,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",234.001,,13.27
111,stations,90.0,200,62.45,-114.38,1541023200.0,6185377.0,,86.0,1012.0,,26.6,26.6,26.6,,Yellowknife,,,CA,3558.0,0.0028,1540998698.0,1541028567.0,1.0,9656.0,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",120.0,10.3,16.11
112,stations,1.0,200,39.31,-74.98,1541022960.0,4501427.0,,69.0,1015.0,,62.01,64.04,60.08,,Port Elizabeth,,,US,1971.0,0.0046,1540985262.0,1541023122.0,1.0,16093.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,3.36
113,stations,100.0,200,-0.6,73.08,1541024731.0,1282256.0,1022.12,100.0,1022.12,1022.28,81.83,81.83,81.83,,Hithadhoo,,,MV,,0.0032,1540946831.0,1540990517.0,,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",273.001,,8.68
114,,,404,,,,,,,,,,,,city not found,,,,,,,,,,,,,,
115,stations,40.0,200,-41.43,147.14,1541023200.0,2160517.0,,66.0,1018.0,,53.6,53.6,53.6,,Launceston,,,AU,8196.0,0.0034,1540925908.0,1540975934.0,1.0,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",20.0,,5.82
116,stations,92.0,200,-28.77,32.06,1541024732.0,962367.0,1011.5,87.0,1011.5,1029.65,62.21,62.21,62.21,,Richards Bay,,0.1,ZA,,0.004,1540954741.0,1541002320.0,,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",247.501,,5.55
117,stations,40.0,200,51.04,-4.21,1541022600.0,2641434.0,,87.0,1002.0,,51.04,53.6,50.0,,Northam,,,GB,5145.0,0.005,1540969725.0,1541004677.0,1.0,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",150.0,,6.93
118,,,404,,,,,,,,,,,,city not found,,,,,,,,,,,,,,
119,stations,56.0,200,71.97,114.09,1541024733.0,2017155.0,1018.95,75.0,1018.95,1031.72,-3.22,-3.22,-3.22,,Saskylakh,,,RU,,0.0029,1540948617.0,1540968957.0,,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",262.001,,6.67
120,stations,24.0,200,63.44,-20.27,1541024734.0,3412093.0,1002.99,100.0,1002.99,1009.23,34.27,34.27,34.27,,Vestmannaeyjar,,,IS,,0.0044,1540976384.0,1541005706.0,,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",39.5009,,3.76
121,stations,20.0,200,41.42,-6.55,1541024734.0,2737599.0,946.57,96.0,946.57,1021.59,35.57,35.57,35.57,,Saldanha,,,PT,,0.0044,1540969047.0,1541006489.0,,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",254.001,,2.98
122,stations,0.0,200,31.44,119.33,1541019600.0,6957978.0,,93.0,1027.0,,46.4,46.4,46.4,,Nandu,,,CN,7447.0,0.0048,1540937880.0,1540977244.0,1.0,8000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",70.0,,4.47
